Model,Label,Precision,Recall,F1,Support
Logistic Regression,No (ở lại),0.8911917098445595,0.6963562753036437,0.7818181818181819,247.0
Logistic Regression,Yes (nghỉ),0.25742574257425743,0.5531914893617021,0.35135135135135137,47.0
Logistic Regression,macro avg,0.5743087262094084,0.624773882332673,0.5665847665847666,294.0
Logistic Regression,weighted avg,0.7898753817435249,0.673469387755102,0.7130020558591987,294.0
KNN,No (ở lại),0.8472222222222222,0.9878542510121457,0.9121495327102803,247.0
KNN,Yes (nghỉ),0.5,0.06382978723404255,0.11320754716981132,47.0
KNN,macro avg,0.6736111111111112,0.5258420191230941,0.5126785399400459,294.0
KNN,weighted avg,0.7917139077853363,0.8401360544217688,0.7844275146136747,294.0
Decision Tree,No (ở lại),0.8511627906976744,0.7408906882591093,0.7922077922077922,247.0
Decision Tree,Yes (nghỉ),0.189873417721519,0.3191489361702128,0.23809523809523808,47.0
Decision Tree,macro avg,0.5205181042095968,0.5300198122146611,0.5151515151515151,294.0
Decision Tree,weighted avg,0.7454464623647516,0.673469387755102,0.703625173012928,294.0
Random Forest,No (ở lại),0.8540925266903915,0.97165991902834,0.9090909090909091,247.0
Random Forest,Yes (nghỉ),0.46153846153846156,0.1276595744680851,0.2,47.0
Random Forest,macro avg,0.6578154941144265,0.5496597467482126,0.5545454545454546,294.0
Random Forest,weighted avg,0.7913372849824298,0.8367346938775511,0.7957328385899815,294.0
