Model,Ratio,Train Size,Train F1,Test F1,Train Accuracy,Test Accuracy,Test ROC-AUC
Logistic Regression,0.1,117,0.3582089552238806,0.16666666666666666,0.6324786324786325,0.5578231292517006,0.43707468343526573
Logistic Regression,0.2,235,0.37681159420289856,0.25149700598802394,0.6340425531914894,0.5748299319727891,0.5895425962615213
Logistic Regression,0.3,352,0.4221105527638191,0.3333333333333333,0.6732954545454546,0.6598639455782312,0.6412266345077096
Logistic Regression,0.4,470,0.44,0.3404255319148936,0.7021276595744681,0.6836734693877551,0.6589714876389009
Logistic Regression,0.5,588,0.432258064516129,0.32432432432432434,0.7006802721088435,0.6598639455782312,0.6536308036867947
Logistic Regression,0.6,705,0.431266846361186,0.33557046979865773,0.700709219858156,0.6632653061224489,0.6479455594797139
Logistic Regression,0.7,823,0.4409090909090909,0.3424657534246575,0.701093560145808,0.673469387755102,0.6686191747781892
Logistic Regression,0.8,940,0.444,0.3611111111111111,0.7042553191489361,0.6870748299319728,0.6720647773279352
Logistic Regression,0.9,1058,0.4412811387900356,0.34210526315789475,0.7032136105860114,0.6598639455782312,0.6715479369454733
Logistic Regression,1.0,1176,0.4281150159744409,0.35135135135135137,0.6955782312925171,0.673469387755102,0.6788698423636833
KNN,0.1,117,0.0,0.0,0.8547008547008547,0.8401360544217688,0.4898785425101215
KNN,0.2,235,0.18604651162790697,0.0392156862745098,0.851063829787234,0.8333333333333334,0.49702816780084413
KNN,0.3,352,0.1917808219178082,0.04081632653061224,0.8323863636363636,0.8401360544217688,0.5107244379360841
KNN,0.4,470,0.2708333333333333,0.0392156862745098,0.851063829787234,0.8333333333333334,0.571539322939099
KNN,0.5,588,0.3103448275862069,0.0784313725490196,0.8639455782312925,0.8401360544217688,0.5576277026445
KNN,0.6,705,0.2463768115942029,0.08,0.8524822695035461,0.8435374149659864,0.5801533293134636
KNN,0.7,823,0.2958579881656805,0.08,0.8554070473876063,0.8435374149659864,0.5763200964768714
KNN,0.8,940,0.26229508196721313,0.11320754716981132,0.8563829787234043,0.8401360544217688,0.5798087690584891
KNN,0.9,1058,0.28846153846153844,0.1509433962264151,0.8601134215500945,0.8469387755102041,0.6003101042294772
KNN,1.0,1176,0.2796610169491525,0.11320754716981132,0.8554421768707483,0.8401360544217688,0.6148247049702817
Decision Tree,0.1,117,0.7555555555555555,0.1984732824427481,0.905982905982906,0.6428571428571429,0.5005599104143338
Decision Tree,0.2,235,0.7551020408163265,0.33613445378151263,0.8978723404255319,0.7312925170068028,0.6072874493927125
Decision Tree,0.3,352,0.6385542168674698,0.2222222222222222,0.8295454545454546,0.6190476190476191,0.47790507364975454
Decision Tree,0.4,470,0.6631578947368421,0.2857142857142857,0.8638297872340426,0.7278911564625851,0.5938065294168319
Decision Tree,0.5,588,0.6147186147186147,0.2631578947368421,0.8486394557823129,0.7142857142857143,0.5751572056163321
Decision Tree,0.6,705,0.5723905723905723,0.3464566929133858,0.8198581560283688,0.717687074829932,0.6012145748987855
Decision Tree,0.7,823,0.6351351351351351,0.2549019607843137,0.8687727825030377,0.7414965986394558,0.5882935653372384
Decision Tree,0.8,940,0.57,0.24793388429752067,0.8170212765957446,0.6904761904761905,0.619605478508054
Decision Tree,0.9,1058,0.5539714867617108,0.29931972789115646,0.7930056710775047,0.6496598639455783,0.5961323111379103
Decision Tree,1.0,1176,0.5267326732673268,0.23809523809523808,0.7967687074829932,0.673469387755102,0.485097768972349
Random Forest,0.1,117,1.0,0.0,1.0,0.8401360544217688,0.4704970281678009
Random Forest,0.2,235,1.0,0.04,1.0,0.8367346938775511,0.6153846153846154
Random Forest,0.3,352,1.0,0.1111111111111111,1.0,0.8367346938775511,0.6830045654233784
Random Forest,0.4,470,0.9935483870967742,0.14285714285714285,0.997872340425532,0.8367346938775511,0.6842105263157895
Random Forest,0.5,588,0.9887640449438202,0.17543859649122806,0.9965986394557823,0.8401360544217688,0.6543199241967439
Random Forest,0.6,705,0.990909090909091,0.14285714285714285,0.9971631205673759,0.8367346938775511,0.6642260315272634
Random Forest,0.7,823,0.9848484848484849,0.13793103448275862,0.9951397326852977,0.8299319727891157,0.6884313894392282
Random Forest,0.8,940,0.9797297297297297,0.13793103448275862,0.9936170212765958,0.8299319727891157,0.6627616504436213
Random Forest,0.9,1058,0.9757575757575757,0.19672131147540983,0.9924385633270322,0.8333333333333334,0.6700835558618313
Random Forest,1.0,1176,0.9787234042553191,0.2,0.9931972789115646,0.8367346938775511,0.6541476440692565
